Iteration,Coverage,Mode
0,0,random
100,0,random
200,0,random
300,0,random
400,0,random
500,0,random
600,0,random
700,0,random
800,0,random
900,0,random
1000,0,random
1100,0,random
1200,0,random
1300,0,random
1400,0,random
1500,0,random
1600,0,random
1700,0,random
1800,0,random
1900,0,random
2000,0,random
2100,0,random
2200,0,random
2300,0,random
2400,0,random
2500,0,random
2600,0,random
2700,0,random
2800,0,random
2900,0,random
3000,0,random
3100,0,random
3200,0,random
3300,0,random
3400,0,random
3500,0,random
3600,0,random
3700,0,random
3800,0,random
3900,0,random
4000,0,random
4100,0,random
4200,0,random
4300,0,random
4400,0,random
4500,0,random
4600,0,random
4700,0,random
4800,0,random
4900,0,random
5000,0,random
5100,0,random
5200,0,random
5300,0,random
5400,0,random
5500,0,random
5600,0,random
5700,0,random
5800,0,random
5900,0,random
6000,0,random
6100,0,random
6200,0,random
6300,0,random
6400,0,random
6500,0,random
6600,0,random
6700,0,random
6800,0,random
6900,0,random
7000,0,random
7100,0,random
7200,0,random
7300,0,random
7400,0,random
7500,0,random
7600,0,random
7700,0,random
7800,0,random
7900,0,random
8000,0,random
8100,0,random
8200,0,random
8300,0,random
8400,0,random
8500,0,random
8600,0,random
8700,0,random
8800,0,random
8900,0,random
9000,0,random
9100,0,random
9200,0,random
9300,0,random
9400,0,random
9500,0,random
9600,0,random
9700,0,random
9800,0,random
9900,0,random
9999,0,random
